Субъект РФ;Вид обращения;Количество записей;%
Краснодарский край;Записей не через ЕПГУ;69672;73.78
Краснодарский край;Всего записей;94428;100.00
Красноярский край;EПГУ;28231;84.20
Красноярский край;РПГУ;1;0.00
Красноярский край;Регистратура;4448;13.27
Красноярский край;Инфомат;;
Красноярский край;Call center;555;1.66
Красноярский край;АРМ медработника;212;0.63
Красноярский край;Прочие;83;0.25
Красноярский край;Записей не через ЕПГУ;5299;15.80
Красноярский край;Всего записей;33530;100.00
Курганская область;EПГУ;9785;21.05
Курганская область;РПГУ;4131;8.89
Курганская область;Регистратура;28827;62.03
Курганская область;Инфомат;701;1.51
Курганская область;Call center;2840;6.11
Курганская область;АРМ медработника;175;0.38
Курганская область;Прочие;15;0.03
Курганская область;Записей не через ЕПГУ;36689;78.95
Курганская область;Всего записей;46474;100.00
Курская область;EПГУ;12336;79.25
Курская область;РПГУ;10;0.06
Курская область;Регистратура;184;1.18
Курская область;Инфомат;577;3.71
Курская область;Call center;2458;15.79
Курская область;АРМ медработника;;
Курская область;Прочие;;
Курская область;Записей не через ЕПГУ;3229;20.75
Курская область;Всего записей;15565;100.00
Ленинградская область;EПГУ;25244;10.00
Ленинградская область;РПГУ;3756;1.49
Ленинградская область;Регистратура;21551;8.53
Ленинградская область;Инфомат;74821;29.62
Ленинградская область;Call center;111862;44.29
Ленинградская область;АРМ медработника;15330;6.07
Ленинградская область;Прочие;;
Ленинградская область;Записей не через ЕПГУ;227320;90.00
Ленинградская область;Всего записей;252564;100.00
Липецкая область;EПГУ;14322;99.93
Липецкая область;РПГУ;10;0.07
Липецкая область;Регистратура;;
Липецкая область;Инфомат;;
Липецкая область;Call center;;
Липецкая область;АРМ медработника;;
Липецкая область;Прочие;;
Липецкая область;Записей не через ЕПГУ;10;0.07
Липецкая область;Всего записей;14332;100.00
Магаданская область;EПГУ;3323;69.84
Магаданская область;РПГУ;24;0.50
Магаданская область;Регистратура;1410;29.63
Магаданская область;Инфомат;;
Магаданская область;Call center;1;0.02
Магаданская область;АРМ медработника;;
Магаданская область;Прочие;;
Магаданская область;Записей не через ЕПГУ;1435;30.16
Магаданская область;Всего записей;4758;100.00
Москва;EПГУ;110136;100.00
Москва;РПГУ;;
Москва;Регистратура;;
Москва;Инфомат;;
Москва;Call center;;
Москва;АРМ медработника;;
Москва;Прочие;;
Москва;Записей не через ЕПГУ;;
Москва;Всего записей;110136;100.00
Московская область;EПГУ;342023;99.83
Московская область;РПГУ;287;0.08
Московская область;Регистратура;;
Московская область;Инфомат;12;0.00
Московская область;Call center;;
Московская область;АРМ медработника;298;0.09
Московская область;Прочие;;
Московская область;Записей не через ЕПГУ;597;0.17
Московская область;Всего записей;342620;100.00
Мурманская область;EПГУ;28033;38.36
Мурманская область;РПГУ;7539;10.32
Мурманская область;Регистратура;17357;23.75
Мурманская область;Инфомат;792;1.08
Мурманская область;Call center;10409;14.24
Мурманская область;АРМ медработника;8579;11.74
Мурманская область;Прочие;376;0.51
Мурманская область;Записей не через ЕПГУ;45052;61.64
Мурманская область;Всего записей;73085;100.00
Ненецкий автономный округ;EПГУ;1098;30.96
Ненецкий автономный округ;РПГУ;169;4.76
Ненецкий автономный округ;Регистратура;508;14.32
Ненецкий автономный округ;Инфомат;16;0.45
Ненецкий автономный округ;Call center;1569;44.23
Ненецкий автономный округ;АРМ медработника;187;5.27
Ненецкий автономный округ;Прочие;;
Ненецкий автономный округ;Записей не через ЕПГУ;2449;69.04
Ненецкий автономный округ;Всего записей;3547;100.00
Нижегородская область;EПГУ;34501;21.71
Нижегородская область;РПГУ;29617;18.64
Нижегородская область;Регистратура;85578;53.86
Нижегородская область;Инфомат;2706;1.70
Нижегородская область;Call center;1693;1.07
Нижегородская область;АРМ медработника;449;0.28
Нижегородская область;Прочие;4339;2.73
Нижегородская область;Записей не через ЕПГУ;124382;78.29
Нижегородская область;Всего записей;158883;100.00
Новгородская область;EПГУ;13125;100.00
Новгородская область;РПГУ;;
Новгородская область;Регистратура;;
Новгородская область;Инфомат;;
Новгородская область;Call center;;
Новгородская область;АРМ медработника;;
Новгородская область;Прочие;;
Новгородская область;Записей не через ЕПГУ;;
Новгородская область;Всего записей;13125;100.00
Новосибирская область;EПГУ;104361;30.35
Новосибирская область;РПГУ;3013;0.88
Новосибирская область;Регистратура;106504;30.98
Новосибирская область;Инфомат;;
Новосибирская область;Call center;56221;16.35
Новосибирская область;АРМ медработника;73730;21.44
Новосибирская область;Прочие;;
Новосибирская область;Записей не через ЕПГУ;239468;69.65
Новосибирская область;Всего записей;343829;100.00
Омская область;EПГУ;40475;26.84
Омская область;РПГУ;8926;5.92
Омская область;Регистратура;89698;59.47
Омская область;Инфомат;5649;3.75
Омская область;Call center;;
Омская область;АРМ медработника;880;0.58
Омская область;Прочие;5192;3.44
Омская область;Записей не через ЕПГУ;110345;73.16
Омская область;Всего записей;150820;100.00
Оренбургская область;EПГУ;16277;27.32
Оренбургская область;РПГУ;3441;5.78
Оренбургская область;Регистратура;10365;17.40
Оренбургская область;Инфомат;18;0.03
Оренбургская область;Call center;29248;49.09
Оренбургская область;АРМ медработника;231;0.39
Оренбургская область;Прочие;;
Оренбургская область;Записей не через ЕПГУ;43303;72.68
Оренбургская область;Всего записей;59580;100.00
Орловская область;EПГУ;18498;100.00
Орловская область;РПГУ;;
Орловская область;Регистратура;;
Орловская область;Инфомат;;
Орловская область;Call center;;
Орловская область;АРМ медработника;;
Орловская область;Прочие;;
Орловская область;Записей не через ЕПГУ;;
Орловская область;Всего записей;18498;100.00
Пензенская область;EПГУ;29399;49.70
Пензенская область;РПГУ;43;0.07
Пензенская область;Регистратура;24717;41.79
Пензенская область;Инфомат;59;0.10
Пензенская область;Call center;1747;2.95
Пензенская область;АРМ медработника;983;1.66
Пензенская область;Прочие;2200;3.72
Пензенская область;Записей не через ЕПГУ;29749;50.30
Пензенская область;Всего записей;59148;100.00
Пермский край;EПГУ;108944;20.49
Пермский край;РПГУ;41933;7.89
Пермский край;Регистратура;351511;66.12
Пермский край;Инфомат;14632;2.75
